Number of sessions(../logparser/demo/paper3_Drain_2_result_tau06/train_normal): 5750
Number of seqs(../logparser/demo/paper3_Drain_2_result_tau06/train_normal): 55274
Epoch [1/150], Train_loss: 0.001481
Epoch [2/150], Train_loss: 0.000874
Epoch [3/150], Train_loss: 0.000775
Epoch [4/150], Train_loss: 0.000683
Epoch [5/150], Train_loss: 0.000595
Epoch [6/150], Train_loss: 0.000531
Epoch [7/150], Train_loss: 0.000492
Epoch [8/150], Train_loss: 0.000454
Epoch [9/150], Train_loss: 0.000430
Epoch [10/150], Train_loss: 0.000410
Epoch [11/150], Train_loss: 0.000395
Epoch [12/150], Train_loss: 0.000383
Epoch [13/150], Train_loss: 0.000374
Epoch [14/150], Train_loss: 0.000367
Epoch [15/150], Train_loss: 0.000362
Epoch [16/150], Train_loss: 0.000356
Epoch [17/150], Train_loss: 0.000352
Epoch [18/150], Train_loss: 0.000348
Epoch [19/150], Train_loss: 0.000345
Epoch [20/150], Train_loss: 0.000341
Epoch [21/150], Train_loss: 0.000339
Epoch [22/150], Train_loss: 0.000377
Epoch [23/150], Train_loss: 0.000337
Epoch [24/150], Train_loss: 0.000332
Epoch [25/150], Train_loss: 0.000329
Epoch [26/150], Train_loss: 0.000327
Epoch [27/150], Train_loss: 0.000325
Epoch [28/150], Train_loss: 0.000322
Epoch [29/150], Train_loss: 0.000319
Epoch [30/150], Train_loss: 0.000316
Epoch [31/150], Train_loss: 0.000313
Epoch [32/150], Train_loss: 0.000310
Epoch [33/150], Train_loss: 0.000305
Epoch [34/150], Train_loss: 0.000300
Epoch [35/150], Train_loss: 0.000291
Epoch [36/150], Train_loss: 0.000278
Epoch [37/150], Train_loss: 0.000265
Epoch [38/150], Train_loss: 0.000256
Epoch [39/150], Train_loss: 0.000247
Epoch [40/150], Train_loss: 0.000239
Epoch [41/150], Train_loss: 0.000232
Epoch [42/150], Train_loss: 0.000225
Epoch [43/150], Train_loss: 0.000221
Epoch [44/150], Train_loss: 0.000218
Epoch [45/150], Train_loss: 0.000213
Epoch [46/150], Train_loss: 0.000211
Epoch [47/150], Train_loss: 0.000209
Epoch [48/150], Train_loss: 0.000204
Epoch [49/150], Train_loss: 0.000201
Epoch [50/150], Train_loss: 0.000198
Epoch [51/150], Train_loss: 0.000196
Epoch [52/150], Train_loss: 0.000194
Epoch [53/150], Train_loss: 0.000192
Epoch [54/150], Train_loss: 0.000190
Epoch [55/150], Train_loss: 0.000189
Epoch [56/150], Train_loss: 0.000188
Epoch [57/150], Train_loss: 0.000186
Epoch [58/150], Train_loss: 0.000184
Epoch [59/150], Train_loss: 0.000183
Epoch [60/150], Train_loss: 0.000182
Epoch [61/150], Train_loss: 0.000180
Epoch [62/150], Train_loss: 0.000179
Epoch [63/150], Train_loss: 0.000178
Epoch [64/150], Train_loss: 0.000177
Epoch [65/150], Train_loss: 0.000175
Epoch [66/150], Train_loss: 0.000175
Epoch [67/150], Train_loss: 0.000174
Epoch [68/150], Train_loss: 0.000172
Epoch [69/150], Train_loss: 0.000170
Epoch [70/150], Train_loss: 0.000170
Epoch [71/150], Train_loss: 0.000169
Epoch [72/150], Train_loss: 0.000167
Epoch [73/150], Train_loss: 0.000166
Epoch [74/150], Train_loss: 0.000165
Epoch [75/150], Train_loss: 0.000163
Epoch [76/150], Train_loss: 0.000163
Epoch [77/150], Train_loss: 0.000162
Epoch [78/150], Train_loss: 0.000160
Epoch [79/150], Train_loss: 0.000158
Epoch [80/150], Train_loss: 0.000157
Epoch [81/150], Train_loss: 0.000155
Epoch [82/150], Train_loss: 0.000155
Epoch [83/150], Train_loss: 0.000153
Epoch [84/150], Train_loss: 0.000151
Epoch [85/150], Train_loss: 0.000150
Epoch [86/150], Train_loss: 0.000148
Number of sessions(../logparser/demo/paper3_Drain_2_result_tau06/train_normal): 5750
Number of seqs(../logparser/demo/paper3_Drain_2_result_tau06/train_normal): 55274
Epoch [1/199], Train_loss: 0.001513
Epoch [2/199], Train_loss: 0.000844
Epoch [3/199], Train_loss: 0.000699
Epoch [4/199], Train_loss: 0.000604
Epoch [5/199], Train_loss: 0.000552
Epoch [6/199], Train_loss: 0.000515
Epoch [7/199], Train_loss: 0.000482
Epoch [8/199], Train_loss: 0.000451
Epoch [9/199], Train_loss: 0.000430
Epoch [10/199], Train_loss: 0.000413
Epoch [11/199], Train_loss: 0.000399
Epoch [12/199], Train_loss: 0.000387
Epoch [13/199], Train_loss: 0.000398
Epoch [14/199], Train_loss: 0.000372
Epoch [15/199], Train_loss: 0.000363
Epoch [16/199], Train_loss: 0.000356
Epoch [17/199], Train_loss: 0.000348
Epoch [18/199], Train_loss: 0.000338
Epoch [19/199], Train_loss: 0.000326
Epoch [20/199], Train_loss: 0.000317
Epoch [21/199], Train_loss: 0.000305
Epoch [22/199], Train_loss: 0.000295
Epoch [23/199], Train_loss: 0.000286
Epoch [24/199], Train_loss: 0.000277
Epoch [25/199], Train_loss: 0.000270
Epoch [26/199], Train_loss: 0.000264
Epoch [27/199], Train_loss: 0.000257
Epoch [28/199], Train_loss: 0.000251
Epoch [29/199], Train_loss: 0.000245
Epoch [30/199], Train_loss: 0.000240
Epoch [31/199], Train_loss: 0.000239
Epoch [32/199], Train_loss: 0.000234
Epoch [33/199], Train_loss: 0.000229
Epoch [34/199], Train_loss: 0.000227
Epoch [35/199], Train_loss: 0.000222
Epoch [36/199], Train_loss: 0.000219
Epoch [37/199], Train_loss: 0.000215
Epoch [38/199], Train_loss: 0.000212
Epoch [39/199], Train_loss: 0.000209
Epoch [40/199], Train_loss: 0.000207
Epoch [41/199], Train_loss: 0.000204
Epoch [42/199], Train_loss: 0.000202
Epoch [43/199], Train_loss: 0.000200
Epoch [44/199], Train_loss: 0.000198
Epoch [45/199], Train_loss: 0.000196
Epoch [46/199], Train_loss: 0.000194
Epoch [47/199], Train_loss: 0.000192
Epoch [48/199], Train_loss: 0.000190
Epoch [49/199], Train_loss: 0.000189
Epoch [50/199], Train_loss: 0.000186
Epoch [51/199], Train_loss: 0.000184
Epoch [52/199], Train_loss: 0.000183
Epoch [53/199], Train_loss: 0.000181
Epoch [54/199], Train_loss: 0.000179
Epoch [55/199], Train_loss: 0.000177
Epoch [56/199], Train_loss: 0.000176
Epoch [57/199], Train_loss: 0.000174
Epoch [58/199], Train_loss: 0.000172
Epoch [59/199], Train_loss: 0.000170
Epoch [60/199], Train_loss: 0.000168
Epoch [61/199], Train_loss: 0.000166
Epoch [62/199], Train_loss: 0.000164
Epoch [63/199], Train_loss: 0.000163
Epoch [64/199], Train_loss: 0.000161
Epoch [65/199], Train_loss: 0.000160
Epoch [66/199], Train_loss: 0.000158
Epoch [67/199], Train_loss: 0.000155
Epoch [68/199], Train_loss: 0.000153
Epoch [69/199], Train_loss: 0.000151
Epoch [70/199], Train_loss: 0.000149
Epoch [71/199], Train_loss: 0.000148
Epoch [72/199], Train_loss: 0.000146
Epoch [73/199], Train_loss: 0.000144
Epoch [74/199], Train_loss: 0.000143
Epoch [75/199], Train_loss: 0.000142
Epoch [76/199], Train_loss: 0.000141
Epoch [77/199], Train_loss: 0.000139
Epoch [78/199], Train_loss: 0.000141
Epoch [79/199], Train_loss: 0.000138
Epoch [80/199], Train_loss: 0.000137
Epoch [81/199], Train_loss: 0.000135
Epoch [82/199], Train_loss: 0.000135
